jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|EMP_NO:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|IN_OUT_STATUS:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=IN_OUT_STATUS,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=IN_OUT_STATUS, 
1011,  1571,  completed,  eof,  2017-01-16 19:14:38,  2017-01-16 19:14:39,  1,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_3.75.modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.055135,  1,  None,  3.75,  0.055045,  11,  14,  None,  3,  None,  299,  None,  0.055135,  0,  0, 
1011,  1572,  completed,  eof,  2017-01-16 19:14:38,  2017-01-16 19:14:39,  1,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius_6.825.modelParams|spParams|synPermInactiveDec_0.055135,  1,  None,  None,  0.055045,  11,  14,  None,  3,  None,  299,  6.825,  0.055135,  0,  0, 
1011,  1573,  completed,  eof,  2017-01-16 19:14:39,  2017-01-16 19:14:39,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius_1.modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.055135,  1,  1,  None,  0.055045,  11,  14,  None,  3,  None,  299,  None,  0.055135,  0,  0, 
1011,  1574,  completed,  eof,  2017-01-16 19:14:39,  2017-01-16 19:14:40,  1,  modelParams|clParams|alpha_0.0355647148893.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|EMP_NO:n_206.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_251.modelParams|spParams|synPermInactiveDec_0.0511701772453,  1,  None,  None,  0.0355647148893,  11,  14,  206,  3,  None,  251,  None,  0.0511701772453,  0,  0, 
1011,  1575,  completed,  eof,  2017-01-16 19:14:39,  2017-01-16 19:14:40,  1,  modelParams|clParams|alpha_0.0355647148893.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|IN_OUT_STATUS:n_200.modelParams|sensorParams|encoders|_classifierInput|n_300.modelParams|spParams|synPermInactiveDec_0.0511701772453,  1,  None,  None,  0.0355647148893,  11,  14,  None,  2,  200,  300,  None,  0.0511701772453,  0,  0, 
1011,  1576,  completed,  eof,  2017-01-16 19:14:40,  2017-01-16 19:14:41,  1,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_2.77501075522.modelParams|clParams|alpha_0.0495147505482.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_251.modelParams|spParams|synPermInactiveDec_0.0511701772453,  1,  None,  2.77501075522,  0.0495147505482,  11,  13,  None,  2,  None,  251,  None,  0.0511701772453,  0,  0, 
1011,  1577,  completed,  eof,  2017-01-16 19:14:40,  2017-01-16 19:14:41,  1,  modelParams|clParams|alpha_0.0355647148893.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_204.modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius_5.68731716264.modelParams|spParams|synPermInactiveDec_0.0511701772453,  1,  None,  None,  0.0355647148893,  11,  14,  None,  2,  None,  204,  5.68731716264,  0.0511701772453,  0,  0, 
1011,  1578,  completed,  eof,  2017-01-16 19:14:41,  2017-01-16 19:14:41,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius_1.modelParams|clParams|alpha_0.040560085781.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_223.modelParams|spParams|synPermInactiveDec_0.0546058727645,  1,  1,  None,  0.040560085781,  11,  14,  None,  3,  None,  223,  None,  0.0546058727645,  0,  0, 
1011,  1579,  completed,  eof,  2017-01-16 19:14:41,  2017-01-16 19:14:42,  1,  modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|EMP_NO:n_288.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0491298227547,  1,  None,  None,  0.0545452851107,  11,  14,  288,  4,  None,  299,  None,  0.0491298227547,  0,  0, 
1011,  1580,  completed,  eof,  2017-01-16 19:14:42,  2017-01-16 19:14:42,  0,  modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|IN_OUT_STATUS:n_344.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0491298227547,  1,  None,  None,  0.0545452851107,  11,  14,  None,  3,  344,  299,  None,  0.0491298227547,  0,  0, 
